stakeholders,position ,Gender,official_role,decision_role,Expertise,Experience,Availability,Interest,Attitude
Farmer small,Vice Chairman PC,M,Govement management,Influenced by,production,4,1,1,Positive
Farmer large,Vice Chairman PC,F,Construction and Foreign Affairs,Influence,production,3,1.5,3,Positive
Child,middle school student,F,NA,Influenced by,child nutrition,2,2,2,Positive
Parent,Mother,F,NA,Influenced by,child nutrition,3,2.5,5,Positive
Parent,Father,M,NA,Influenced by,household nutrition,1,3,5,Positive
Maid,house maid,F,NA,Influenced by,child nutrition,2,3.5,3,Positive
Teen,high school student,M,NA,Influenced by,teen nutrition,5,4,3,Positive
Ministry of Ag,Lead,F,NA,"Decide, manage the operation",policy,4,4.5,2,Negative
Company,Head,M,NA,Influence,supply chain,5,5,2,Positive
Seller,Head,M,NA,Influenced by,supply chain,5,4,2,Positive
Retailer,Head,F,NA,Influenced by,supply chain,5,3,2,Positive